City,LON,LAT,radius_3 ,radius_2
Tulum,20.214788,-87.430588,2,4
Playa del Carmen,20.6296,-87.0739,6,15
Cancun,21.1619,-86.8515,7,14
Cozumel,20.423,-86.9223,12,24
Guanajuato,20.917,-101.1617,37,74
Mexico City,19.4326,-99.1332,26,57
Puebla,19.0414,-98.2063,9,18
Oaxaca,17.0732,-96.7266,7,14
Huatulco,15.834,-96.3199,4,8
Zacatecas,22.7709,-102.5832,30,60
Puerto Vallarta,20.6534,-105.2253,7,14
Cabo San Lucas,22.8905,-109.9167,15,30
Merida,20.9674,-89.5926,7,14
San Miguel de Allende,20.9144,-100.7452,15,30
San Cristobal de las Casa,16.737,-92.6376,5,10
Guadalajara,20.6597,-103.3496,15,30
Mahahual,18.7157,-87.708,14,28
Isla Mujeres,21.2322,-86.7341,5,10
Puerto Morelos,20.8478,-86.8755,10,20
Sayulita,20.8689,-105.4408,4,8
San Pancho,20.8966,-105.4094,5,10
Mazatlan,23.2494,-106.4111,7,14
Puerto Escondido,15.872,-97.0767,6,12
Rosarito,32.3661,-117.0618,5,10
La Paz,16.4897,-68.1193,7,14
Ensenada ,31.8667,-116.5964,4,8
Loreto,26.0118,-111.3478,2,4
