,created_on,property_type,place_name,price_aprox_usd,surface_total_in_m2,rooms,year,popularity,USDMEXVal
12,2013-09-19,1.0,Kanasín,26355.66,495.0,1.0,2013,3,13.055250549316408
13,2013-09-19,1.0,Chichi Suárez,72478.09,260.0,2.0,2013,1,13.055250549316408
14,2013-09-19,1.0,Chichi Suárez,72478.09,260.0,2.0,2013,3,13.055250549316408
15,2013-09-19,1.0,Ejido de Chuburna,131119.45,494.0,3.0,2013,2,13.055250549316408
16,2013-09-19,1.0,Chichi Suárez,69183.63,600.0,2.0,2013,1,13.055250549316408
17,2013-09-19,1.0,Yucatán,184489.69,423.0,3.0,2013,2,13.055250549316408
18,2013-09-19,1.0,Yucatán,56664.68,360.0,1.0,2013,3,13.055250549316408
19,2013-09-19,1.0,Yucatán,59300.25,280.0,1.0,2013,2,13.055250549316408
20,2013-09-19,1.0,Yucatán,54688.01,160.0,2.0,2013,3,13.055250549316408
21,2013-09-19,1.0,Yucatán,92244.84,270.0,3.0,2013,3,13.055250549316408
22,2013-09-19,1.0,Yucatán,52711.33,160.0,2.0,2013,3,13.055250549316408
23,2013-09-19,1.0,Yucatán,62594.71,300.0,3.0,2013,3,13.055250549316408
24,2013-09-19,1.0,Yucatán,62594.71,400.0,2.0,2013,3,13.055250549316408
25,2013-09-19,1.0,Yucatán,32944.58,200.0,3.0,2013,2,13.055250549316408
45,2014-02-14,1.0,Yucatán,46552.91,360.0,1.0,2014,3,13.292763960988898
46,2014-02-14,1.0,Yucatán,151567.64,423.0,3.0,2014,2,13.292763960988898
47,2014-02-14,1.0,Yucatán,97436.34,205.0,4.0,2014,3,13.292763960988898
48,2014-02-14,1.0,Yucatán,19487.26,400.0,4.0,2014,3,13.292763960988898
49,2014-02-14,1.0,Yucatán,37891.91,135.0,2.0,2014,3,13.292763960988898
50,2014-02-14,1.0,Morelia,53048.67,96.0,3.0,2014,3,13.292763960988898
51,2014-02-14,1.0,Puerto Vallarta,62250.99,119.0,3.0,2014,3,13.292763960988898
52,2014-02-14,1.0,Nayarit,36932.27,91.0,3.0,2014,3,13.292763960988898
53,2014-02-14,1.0,Bucerías,116382.29,138.0,4.0,2014,3,13.292763960988898
54,2014-02-14,1.0,Bucerías,153000.0,128.0,4.0,2014,2,13.292763960988898
55,2014-02-14,1.0,Bucerías,83903.51,117.0,4.0,2014,3,13.292763960988898
56,2014-02-14,1.0,Bucerías,101225.53,106.0,3.0,2014,3,13.292763960988898
57,2014-02-14,1.0,Bucerías,90399.27,106.0,3.0,2014,3,13.292763960988898
58,2014-02-14,1.0,Bucerías,106097.34,165.0,4.0,2014,3,13.292763960988898
59,2014-02-14,1.0,Puerto Vallarta,53048.67,220.0,3.0,2014,3,13.292763960988898
62,2014-02-14,1.0,Santa María Huatulco,162393.9,350.0,4.0,2014,1,13.292763960988898
67,2014-02-14,2.0,Santa María Huatulco,35185.34,60.0,2.0,2014,1,13.292763960988898
74,2014-02-14,2.0,Cuauhtémoc,146154.52,61.0,3.0,2014,3,13.292763960988898
75,2014-02-14,2.0,Cuauhtémoc,343571.38,176.0,5.0,2014,3,13.292763960988898
76,2014-02-14,2.0,Álvaro Obregón,371882.03,180.0,5.0,2014,3,13.292763960988898
77,2014-02-14,2.0,Álvaro Obregón,351853.44,300.0,9.0,2014,3,13.292763960988898
78,2014-06-02,2.0,Aguascalientes,66828.71,123.0,1.0,2014,1,12.993162609281994
90,2014-06-11,2.0,Cuernavaca,62250.99,100.0,1.0,2014,2,12.993162609281994
96,2014-06-11,2.0,Estado de México,16239.39,58.0,1.0,2014,3,12.993162609281994
98,2014-06-11,2.0,Miguel Hidalgo,36267.97,65.0,4.0,2014,3,12.993162609281994
106,2014-06-11,2.0,Gustavo A. Madero,75783.82,82.0,1.0,2014,3,12.993162609281994
110,2014-06-11,2.0,Benito Juárez,92023.21,70.0,1.0,2014,3,12.993162609281994
115,2014-06-11,2.0,Morelos,20028.58,62.0,3.0,2014,1,12.993162609281994
